School,Nickname,Full Name
Longwood University,Lancers,Longwood University Lancers
Presbyterian College,Blue Hose,Presbyterian College Blue Hose
Radford University,Highlanders,Radford University Highlanders
University of North Carolina at Asheville/UNC Asheville,Bulldogs,University of North Carolina at Asheville Bulldogs
University of South Carolina Upstate /USC Upstate,Spartans,University of South Carolina Upstate Spartans
Winthrop University,Eagles,Winthrop University Eagles
University of Illinois Urbana–Champaign/Illinois/U of I/Illinois Fighting Illini/Southern Illinois Salukis,Salukis,University of Illinois Urbana–Champaign Salukis
Indiana University Bloomington/Indiana/ IU/Indiana U.,Hoosiers,Indiana University Bloomington Hoosiers
University of Iowa,Hawkeyes,University of Iowa Hawkeyes
University of Maryland/ College Park/Maryland,Terrapins,University of Maryland Terrapins
University of Michigan,Wolverines,University of Michigan Wolverines
Michigan State University,Spartans,Michigan State University Spartans
University of Minnesota,Golden Gophers,University of Minnesota Golden Gophers
University of Nebraska–Lincoln/Nebraska,Cornhuskers,University of Nebraska–Lincoln Cornhuskers
Northwestern University,Wildcats,Northwestern University Wildcats
Ohio State University/Ohio St.,Buckeyes,Ohio State University Buckeyes
Pennsylvania State University/Penn State,Nittany Lions,Pennsylvania State University Nittany Lions
Purdue University,Boilermakers,Purdue University Boilermakers
Rutgers University–New Brunswick/Rutgers,Scarlet Knights,Rutgers University–New Brunswick Scarlet Knights
University of Wisconsin–Madison/Wisconsin,Badgers,University of Wisconsin–Madison Badgers
Baylor/University,Bears,Baylor University Bears
Brigham Young University/BYU,Cougars,Brigham Young University Cougars
University of Central Florida/UCF Knights,Knights,University of Central Florida Knights
University of Cincinnati /UC,Bearcats,University of Cincinnati Bearcats
University of Houston/Houston U,Cougars,University of Houston Cougars
Iowa State University,Cyclones,Iowa State University Cyclones
University of Kansas,Jayhawks,University of Kansas Jayhawks
Kansas State University,Wildcats,Kansas State University Wildcats
University of Oklahoma,Sooners,University of Oklahoma Sooners
Oklahoma State University–Stillwater/Oklahoma State,Cowboys,Oklahoma State University–Stillwater Cowboys
Texas Christian University/TCU,Horned Frogs,Texas Christian University Horned Frogs
Texas Tech University,Red Raiders,Texas Tech University Red Raiders
West Virginia University/WVU,Mountaineers,West Virginia University Mountaineers
California Polytechnic State University /Cal Poly,Mustangs,California Polytechnic State University Mustangs
California State University/ Bakersfield/CSU Bakersfield/ Cal State Bakersfield/CS Bakersfield,Roadrunners,Cal State Bakersfield Roadrunners
California State University/ Fullerton /CS Fullerton/Cal State Fullerton,Titans,Cal State Fullerton Titans
California State University/ Northridge /Cal State Northridge/CSU Northridge/CSUN/CS Northridge,Matadors,California State University Matadors
University of Hawaiʻi at Mānoa/Hawaii,Rainbow Warriors,University of Hawaiʻi at Mānoa Rainbow Warriors
California State University/ Long Beach/Long Beach State (D1),The Beach,California State University The Beach
University of California/ Davis /UC Davis,Aggies,UC Davis Aggies
University of California/ Irvine /UC Irvine/Cal Irvine,Anteaters,University of California Anteaters
University of California/ Riverside /Cal Riverside/UC Riverside,Highlanders,University of California Highlanders
University of California/ San Diego /UC San Diego/ UCSD/California San Diego,Tritons,UC San Diego Tritons
University of California/ Santa Barbara/UC Santa Barbara/ UCSB,Gauchos,University of California Gauchos
Campbell University/Fighting Camels/Campbell Fighting Camels,Campbell Fighting Camels,Campbell Fighting Camels Campbell Fighting Camels
College of Charleston/Charleston,Cougars,College of Charleston Cougars
University of Delaware/Fightin' Blue Hens,Delaware Fightin' Blue Hens,University of Delaware Fightin' Blue Hens
Drexel University,Dragons,Drexel University Dragons
Elon University,Phoenix,Elon University Phoenix
Hampton University,Pirates,Hampton University Pirates
Hofstra University,Pride,Hofstra University Pride
Monmouth University,Hawks,Monmouth University Hawks
North Carolina Agricultural and Technical State University/North Carolina A&T Aggies/N. Carolina A and T,Aggies,North Carolina Agricultural and Technical State University Aggies
Northeastern University,Huskies,Northeastern University Huskies
Stony Brook University,Seawolves,Stony Brook University Seawolves
Towson University,Tigers,Towson University Tigers
University of North Carolina at Wilmington/UNCW/ UNC Wilmington,Seahawks,University of North Carolina at Wilmington Seahawks
College of William & Mary/William and Mary,Tribe,College of William & Mary Tribe
Florida International University /FIU,Panthers,Florida International University Panthers
Jacksonville State University,Gamecocks,Jacksonville State University Gamecocks
Liberty University,Flames,Liberty University Flames
Louisiana Tech University,Bulldogs,Louisiana Tech University Bulldogs
Middle Tennessee State University/Middle Tennessee/MTSU/Middle Tenn State,Blue Raiders,Middle Tennessee State University Blue Raiders
New Mexico State University,Aggies,New Mexico State University Aggies
Sam Houston State University/Sam Houston,Bearkats,Sam Houston State University Bearkats
University of Texas at El Paso /UTEP,Miners,University of Texas at El Paso Miners
Western Kentucky University/WKU/W Kentucky/Western KY,Hilltoppers,Western Kentucky University Hilltoppers
Cleveland State University,Vikings,Cleveland State University Vikings
University of Detroit Mercy/Detroit U.,Titans,University of Detroit Mercy Titans
Indiana University – Purdue University Indianapolis/IUPUI/Indiana-Purdue Indianapolis Jaguars,Jaguars,Indiana University – Purdue University Indianapolis Jaguars
University of Wisconsin-Milwaukee/Milwaukee/Wisc Milwaukee,Panthers,University of Wisconsin-Milwaukee Panthers
Northern Kentucky University/NKU/N Kentucky,Norse,Northern Kentucky University Norse
Oakland University,Golden Grizzlies,Oakland University Golden Grizzlies
Purdue University Fort Wayne /Purdue Fort Wayne/IPFW,Mastodons,Purdue University Fort Wayne Mastodons
Robert Morris University,Colonials,Robert Morris University Colonials
University of Wisconsin–Green Bay/Green Bay/Wisc Green Bay,Phoenix,University of Wisconsin–Green Bay Phoenix
Wright State University,Raiders,Wright State University Raiders
Youngstown State University,Penguins,Youngstown State University Penguins
Chicago State University,Cougars,Chicago State University Cougars
Brown University,Bears,Brown University Bears
Columbia University,Lions,Columbia University Lions
Cornell University,Big Red,Cornell University Big Red
Dartmouth College,Big Green,Dartmouth College Big Green
Harvard University/Harvard Crimson,Crimson,Harvard University Crimson
University of Pennsylvania/Penn,Quakers,University of Pennsylvania Quakers
Princeton University,Tigers,Princeton University Tigers
Yale University,Bulldogs,Yale University Bulldogs
Canisius College,Golden Griffins,Canisius College Golden Griffins
Fairfield University,Stags,Fairfield University Stags
Iona University,Gaels,Iona University Gaels
Manhattan College,Jaspers,Manhattan College Jaspers
Marist College,Red Foxes,Marist College Red Foxes
Mount St. Mary's University/Mount St. Marys/Mount Saint Marys/St. Mary's Gaels,Mountaineers,Mount St. Mary's University Mountaineers
Niagara University,Purple Eagles,Niagara University Purple Eagles
Quinnipiac University,Bobcats,Quinnipiac University Bobcats
Rider University,Broncs,Rider University Broncs
Saint Peter's University,Peacocks,Saint Peter's University Peacocks
Siena College,Saints,Siena College Saints
University of Akron,Zips,University of Akron Zips
Ball State University,Cardinals,Ball State University Cardinals
Bowling Green State University/Bowling Green,Falcons,Bowling Green State University Falcons
University at Buffalo,Bulls,University at Buffalo Bulls
Central Michigan University/C Michigan,Chippewas,Central Michigan University Chippewas
Eastern Michigan University/E Michigan,Eagles,Eastern Michigan University Eagles
Kent State University,Golden Flashes,Kent State University Golden Flashes
Miami University/OH/Miami OH/Miami Ohio Redhawks,RedHawks,Miami University RedHawks
Northern Illinois University/NIU/N.Illinois,Huskies,Northern Illinois University Huskies
University of Toledo,Rockets,University of Toledo Rockets
Western Michigan University/W Michigan,Broncos,Western Michigan University Broncos
Coppin State University,Eagles,Coppin State University Eagles
Delaware State University,Hornets,Delaware State University Hornets
Howard University,Bison,Howard University Bison
University of Maryland Eastern Shore/UMES,Hawks,University of Maryland Eastern Shore Hawks
